taxon	genotype	genotypeSubtype	genotypeSubtypePrimaryAcc
alignment/AL_UNCONSTRAINED/member/concatenated-refseqs/REF_1f_L38350_L38371	1	1/f	1/f/REF_1f_L38350_L38371
alignment/AL_UNCONSTRAINED/member/concatenated-refseqs/REF_2n_L39309_L44602	2	2/n	2/n/REF_2n_L39309_L44602
alignment/AL_UNCONSTRAINED/member/concatenated-refseqs/REF_2o_L38333_L38373	2	2/o	2/o/REF_2o_L38333_L38373
alignment/AL_UNCONSTRAINED/member/concatenated-refseqs/REF_2p_L39300_L44601	2	2/p	2/p/REF_2p_L39300_L44601
alignment/AL_UNCONSTRAINED/member/concatenated-refseqs/REF_2s_JQ924942_HM777447_HM777332	2	2/s	2/s/REF_2s_JQ924942_HM777447_HM777332
alignment/AL_UNCONSTRAINED/member/concatenated-refseqs/REF_3c_D16612_D14198_D16613	3	3/c	3/c/REF_3c_D16612_D14198_D16613
alignment/AL_UNCONSTRAINED/member/concatenated-refseqs/REF_3f_D16614_D14203_D16615	3	3/f	3/f/REF_3f_D16614_D14203_D16615
alignment/AL_UNCONSTRAINED/member/concatenated-refseqs/REF_4e_L29589_L29590	4	4/e	4/e/REF_4e_L29589_L29590
alignment/AL_UNCONSTRAINED/member/concatenated-refseqs/REF_4h_L29610_L29611	4	4/h	4/h/REF_4h_L29610_L29611
alignment/AL_UNCONSTRAINED/member/concatenated-refseqs/REF_4i_L36439_L36437	4	4/i	4/i/REF_4i_L36439_L36437
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/AB030907	2	2/b	2/b/AB030907
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/AB031663	2	2/k	2/k/AB031663
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/AB047639	2	2/a	2/a/AB047639
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/AB661382	2	2/b	2/b/AB661382
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/AB661388	2	2/b	2/b/AB661388
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/AF064490	5	5/a	5/a/AF064490
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/AJ851228	1	1/-	1/-/AJ851228
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/AM910652	1	1/g	1/g/AM910652
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/AY051292	1	1/c	1/c/AY051292
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/AY651061	1	1/c	1/c/AY651061
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/AY859526	6	6/a	6/a/AY859526
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/D00944	2	2/a	2/a/D00944
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/D10988	2	2/b	2/b/D10988
