sequenceId	conclusionTaxon	conclusionTaxonSupport	blastClusterConclusion	blastIdentityScore	alignmentFile	logFile	treeFile
4001-11051	2a	100.0	HCV	0.7770227	r8319845.nex	r9190743.log	r2354308.tre
8671-11153	3a	100.0	HCV	0.92817736	r9226825.nex	r8834047.log	r2615400.tre
3060-11006	3a	100.0	HCV	0.9378519	r6107081.nex	r6233986.log	r2990997.tre
6876-11552	3a	100.0	HCV	0.932342	r8307941.nex	r5363369.log	r6109290.tre
6836-11265	3a	100.0	HCV	0.93495333	r2371116.nex	r4124369.log	r5441991.tre
5498-11240	3a	100.0	HCV	0.9271685	r7930196.nex	r2239301.log	r8895996.tre
0451-11500	3a	100.0	HCV	0.93252707	r2376442.nex	r270233.log	r2013509.tre
2029-11488	3a	100.0	HCV	0.9346558	r8321972.nex	r3623876.log	r1508464.tre
4472-11189	3a	100.0	HCV	0.94159424	r5661152.nex	r3529750.log	r6141958.tre
8815-11099	3a	100.0	HCV	0.93986	r8327150.nex	r1553217.log	r8343084.tre
4472-11290	3a	100.0	HCV	0.92572945	r7006178.nex	r4853719.log	r5988274.tre
6876-11254	3a	100.0	HCV	0.9315985	r9367700.nex	r4335040.log	r4000810.tre
8817-11599	3a	100.0	HCV	0.9260634	r6239626.nex	r59381.log	r750374.tre
2080-11565	3a	100.0	HCV	0.93861973	r4601920.nex	r3386304.log	r5721468.tre
8673-11411	3a	100.0	HCV	0.92949533	r5507327.nex	r8147482.log	r6608723.tre
6836-11264	3a	100.0	HCV	0.92724377	r7093940.nex	r2022764.log	r5513003.tre
4472-11132	3a	100.0	HCV	0.91767454	r7666526.nex	r8798119.log	r3044994.tre
1122-11270	3a	100.0	HCV	0.9161277	r8832436.nex	r3227393.log	r5130797.tre
1469-11252	3a	100.0	HCV	0.9172062	r881359.nex	r2527564.log	r9103032.tre
2075-11410	3a	100.0	HCV	0.9353366	r9437751.nex	r3325918.log	r5335746.tre
7393-11263	3a	100.0	HCV	0.9290494	r6818276.nex	r5882202.log	r699886.tre
5367-11571	3b	100.0	HCV	0.7893565	r7863037.nex	r8818400.log	r3917774.tre
1069-11253	3a	100.0	HCV	0.8924051	r3652639.nex	r3754466.log	r1891483.tre
2080-11418	3a	100.0	HCV	0.92842734	r8156783.nex	r1982607.log	r1972329.tre
2689-11012	3a	100.0	HCV	0.9219331	r9593745.nex	r8040554.log	r4944988.tre
4472-11067	3a	100.0	HCV	0.9255285	r7084892.nex	r998852.log	r5612848.tre
4001-11339	3a	100.0	HCV	0.93413365	r8097772.nex	r375810.log	r904517.tre
0454-11491	3a	100.0	HCV	0.93575066	r5128076.nex	r4561197.log	r7538132.tre
5278-11504	3a	100.0	HCV	0.93285954	r6243500.nex	r379857.log	r6138651.tre
