sequenceID	genotype	subtype	gb_isolate	gb_country_short	gb_place_sampled	gb_collection_year	gb_collection_month	gb_collection_month_day	gb_lab_construct	gb_host	gb_pubmed_id
AB162864	6	a	VT315	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB162865	6	a	VT349	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB162866	6	a	VT657	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB162867	6	a	VT689	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB162868	6	a	VT699	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB162869	6	a	VT903	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB162870	6	e	VT204	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB162871	6	o	VT316	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB162872	6	e	VT886	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB162873	6	-	VT887	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB162874	6	e	VT897	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB162875	6	e	VT898	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB162876	6	l	VT681	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB284224	6	e	TV64	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB301783	6	a	TV34	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB301784	6	a	TV58	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB301785	6	a	TV61	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB301786	6	a	TV70	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB301787	6	a	TV225	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB301788	6	a	TV236	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB301789	6	a	TV261	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB301790	6	a	TV267	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB301791	6	a	TV282	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB301792	6	a	TV283	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB301793	6	a	TV285	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB301794	6	a	TV296	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB301795	6	a	TV312	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB301796	6	a	TV328	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB301797	6	a	TV338	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB301798	6	a	TV342	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB301799	6	a	TV345	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB301800	6	a	VT23	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB301801	6	a	VT27	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB301802	6	a	VT30	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB301803	6	a	VT32	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB301804	6	a	VT33	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB301805	6	a	VT47	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB301806	6	e	VT204	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB301807	6	a	VT315	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB301808	6	a	VT349	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB301809	6	a	VT657	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB301810	6	a	VT689	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB301811	6	a	VT699	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB301812	6	a	VT903	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
