sequenceID	gb_isolate	gb_country_short_corrected	gb_place_sampled_corrected	gb_collection_year_corrected	gb_lab_construct_corrected	gb_host_corrected	gb_pubmed_id_corrected
AB162864							
AB162865							
AB162866							
AB162867							
AB162868							
AB162869							
AB162870							
AB162871							
AB162872							
AB162873							
AB162874							
AB162875							
AB162876							
AB284224							
AB301783							
AB301784							
AB301785							
AB301786							
AB301787							
AB301788							
AB301789							
AB301790							
AB301791							
AB301792							
AB301793							
AB301794							
AB301795							
AB301796							
AB301797							
AB301798							
AB301799							
AB301800							
AB301801							
AB301802							
AB301803							
AB301804							
AB301805							
AB301806							
AB301807							
AB301808							
AB301809							
AB301810							
AB301811							
AB301812							
AB301813							
AB301814							
AB301815							
AB301816							
AB301817							
AB301818							
AB301820							
AB301822							
AB301823							
AB301824							
AB301825							
AB301826							
AB301827							
AB301828							
AB301829							
AB301830							
AB301831							
AB301832							
AB301833							
AB301834							
AB301835							
AB301836							
AB301837							
AB301838							
AB301839							
AB301840							
AB301841							
AB301842							
AB301843							
AB301844							
AB301845							
AB301846							
AB301847							
AB301848							
AB301849							
AB301850							
AB301851							
AB301852							
AB301853							
AB301854							
AB301855							
AB301856							
AB306327							
AB306328							
AB306336							
AB306341							
AB306342							
AB306344							
AB306346							
AB306347							
AB306348							
AB306349							
AB306353							
AB306354							
AB306358							
AB306359							
AB306361							
AB306362							
AB306363							
AB306364							
AB306366							
AB306368							
AB306370							
AB306371							
AB306375							
AB306378							
AB306379							
AB306380							
AB306381							
AB306383							
AB306384							
AB306386							
AB306387							
AB306389							
AB306390							
AB306391							
AB306396							
AB306397							
AB306400							
AB306403							
AB306405							
AB522973							
AB522974							
AB522975							
AB522977							
AB522980							
AB522983							
AB522987							
AB522988							
AB522989							
AB522990							
AB522991							
AB522992							
AB522994							
AB522997							
AB522999							
AB523001							
AB523002							
AB523008							
AB523011							
AB523015							
AB523017							
AB523018							
AB523019							
AB523020							
AB523022							
AB523026							
AB523027							
AB523029							
AB523030							
AB523032							
AB523034							
AB523036							
AB523043							
AB523044							
AB523046							
AB523050							
AB523051							
AB523054							
AB523055							
AB523056							
AB523067							
AB523069							
AB523070							
AB523071							
